"","MFCC Overall Standard Deviation0","MFCC Overall Standard Deviation1","MFCC Overall Standard Deviation2","MFCC Overall Standard Deviation3","MFCC Overall Standard Deviation4","MFCC Overall Standard Deviation5","MFCC Overall Standard Deviation6","MFCC Overall Standard Deviation7","MFCC Overall Standard Deviation8","MFCC Overall Standard Deviation9","MFCC Overall Standard Deviation10","MFCC Overall Standard Deviation11","MFCC Overall Standard Deviation12","MFCC Overall Average0","MFCC Overall Average1","MFCC Overall Average2","MFCC Overall Average3","MFCC Overall Average4","MFCC Overall Average5","MFCC Overall Average6","MFCC Overall Average7","MFCC Overall Average8","MFCC Overall Average9","MFCC Overall Average10","MFCC Overall Average11","MFCC Overall Average12"
"1",9.166,1.785,2.494,2.49,1.397,1.819,1.871,1.593,2.014,1.075,1.165,1.486,0.9042,-258.1,16.33,6.282,3.562,3.354,3.656,3.093,0.6485,2.102,-0.6266,0.1522,1.325,-0.8183
"2",9.882,1.976,2.396,2.237,1.488,1.411,1.469,1.602,1.476,1.15,1.147,1.212,0.9631,-257.6,16.79,6.966,3.761,3.226,2.923,2.42,-0.01642,1.246,-0.6932,-0.3239,0.6536,-0.8473
"3",18.16,1.23,2.752,2.836,1.939,1.549,2.034,2.076,2.036,1.228,1.195,1.35,0.9919,-201,21.55,6.467,4.862,1.211,1.302,1.213,-1.132,-0.8516,-1.75,0.7284,0.24,0.1714
"4",11.49,2.301,3.042,2.953,1.435,1.443,1.58,2.06,1.511,1.128,1.189,1.205,0.9243,-255.8,16.46,7.879,4.178,3.107,2.957,2.337,-0.5677,1.135,-0.8923,-0.4668,0.8124,-0.5929
"5",12.84,2.525,2.529,2.438,1.457,1.493,1.544,1.536,1.49,1.097,1.137,1.156,0.9099,-257,14.81,6.342,3.286,2.965,3.526,2.94,0.4452,2.178,-0.4129,0.04574,1.47,-0.8102
"6",9.481,1.156,2.626,2.563,1.966,1.643,1.726,2.181,1.753,1.291,1.348,1.323,1.037,-200.8,22.67,9.297,7.488,-0.4742,0.3323,2.12,-3.008,0.5151,-1.908,1.244,-0.489,0.6035
"7",11.94,1.856,3.767,3.574,2.085,1.764,1.919,2.766,1.946,1.307,1.331,1.383,1.037,-188.9,19.66,1.835,0.7023,2.119,1.656,0.01408,2.414,-2.423,-1.202,0.768,0.3152,-0.6948
"8",7.37,1.96,2.957,3.293,1.117,1.254,1.611,2.193,1.274,1.206,1.232,0.9775,0.8626,-241.4,19.25,6.659,3.926,0.819,1.705,3.353,1.098,2.133,0.224,0.7694,-0.785,-2.405
"9",9.888,2.152,2.355,2.194,1.448,1.461,1.501,1.52,1.512,1.096,1.081,1.265,0.9181,-257.5,16.11,6.802,3.131,2.826,2.435,2.049,-0.1662,0.9438,-0.6573,-0.1597,0.8851,-0.5641
"10",22.91,1.336,2.729,2.582,2.267,1.691,2.237,2.194,1.774,1.387,1.616,1.435,1.069,-180,22.06,7.105,3.343,-3.15,-2.215,2.129,0.01322,-2.903,-3.862,3.053,-1.421,0.8938
"11",12.2,1.245,3.161,3.137,2.121,1.642,2.275,2.222,1.97,1.333,1.312,1.342,0.9454,-200.3,22.39,7.7,5.792,0.1278,0.6725,2.454,-0.994,-0.6081,-2.263,1.198,-0.6252,-0.1093
"12",9.269,1.948,2.353,2.233,1.379,1.338,1.474,1.721,1.565,1.258,1.134,1.276,1.012,-258.3,16.93,6.543,3.567,3.19,2.983,2.678,0.2791,1.074,-0.8068,-0.2658,0.6417,-0.8508
"13",9.562,1.739,2.969,2.797,1.598,1.531,1.675,2.006,1.746,1.11,1.133,1.26,0.9359,-251.5,18.93,9.85,7.117,2.816,3.385,3.401,-1.565,2.031,-0.9017,-0.5711,0.8476,-0.7173
"14",14.56,2.369,2.694,2.729,2.131,1.668,1.825,1.863,1.758,1.123,1.257,1.242,0.8673,-247.1,18.23,10.8,7.14,2.049,3.203,3.861,-1.743,2.459,-1.002,-0.5502,1.089,-0.8616
"15",16.26,1.698,3.752,3.449,2.533,1.957,2.532,2.3,1.848,1.631,1.458,1.574,1.107,-185.2,23.24,10.14,7.377,-2.805,-1.074,4.018,-1.876,-0.07416,-3.09,2.427,-1.276,0.3146
"16",10.7,1.313,3.078,3.061,1.897,1.548,1.691,2.666,1.861,1.303,1.309,1.322,1.042,-194,21.38,6.022,4.784,1.711,1.811,1.387,-0.7998,-1.234,-2.146,0.3349,0.1707,-0.2945
"17",8.926,2.235,2.991,3.331,1.428,1.678,1.794,1.831,1.617,1.096,1.15,1.129,0.913,-256.6,16.32,8.093,4.542,3.63,3.714,3.122,0.1205,2.001,-0.3707,-0.03482,1.221,-0.5781
"18",8.538,2.369,2.912,2.981,1.49,1.705,1.729,1.599,1.745,1.137,1.129,1.312,0.9444,-262,15.04,5.336,1.953,3.051,2.537,2.036,0.5602,1.227,-0.4834,0.1493,0.8614,-0.5563
"19",22.01,1.661,3.938,3.895,2.218,1.934,2.389,2.792,2.036,1.514,1.329,1.519,1.033,-191,22.57,8.305,5.472,-2.323,-0.9506,3.741,0.1399,-0.4028,-2.299,2.561,-1.378,-0.3794
"20",12.27,1.474,3.308,3.2,2.101,1.756,2.182,2.421,2.262,1.39,1.314,1.529,0.9971,-227.4,21.15,8.994,6.863,0.1207,1.823,4.192,-1.026,1.366,-1.935,0.745,0.5463,-0.4118
"21",21.48,1.773,3.356,2.872,2.771,2.281,2.135,2.151,1.872,1.677,1.483,1.956,1.099,-205,22.3,9.126,6.016,-2.532,-1.072,3.282,-1.381,-0.7733,-2.8,2.584,-0.5879,0.102
"22",10.8,1.044,2.337,2.42,2.017,1.722,1.884,2.064,1.775,1.392,1.306,1.487,1.003,-212.1,21.99,7.615,5.309,-0.87,-0.2902,2.049,-1.102,-0.2046,-1.54,1.749,-0.6392,0.01025
"23",18.86,2.591,3.407,3.373,2.585,1.75,2.021,2.286,1.712,1.356,1.223,1.346,1.018,-237.9,19.44,9.969,6.787,0.2817,1.836,4.109,-1.453,2.214,-1.19,0.3088,0.5888,-0.7435
"24",8.004,2.139,3.035,3.07,1.449,1.647,1.768,1.87,1.728,1.131,1.144,1.289,0.9412,-257.5,17.06,7.883,4.998,3.47,3.602,3.049,-0.4934,1.798,-0.7918,-0.3647,1.145,-0.7081
"25",10.34,1.577,3.798,3.75,1.673,1.536,1.887,3.356,1.567,1.782,1.288,1.384,1.06,-158.4,20.97,3.256,0.4252,0.2286,-0.9839,-0.3556,2.83,-2.432,-1.016,1.093,-2.643,-0.04567
"26",10.66,1.687,3.6,3.646,1.921,1.826,2.226,2.45,1.779,1.389,1.359,1.363,0.8852,-200.3,22.23,8.721,7.022,-0.7613,1.037,4.287,-1.483,0.6546,-2.577,0.8307,-0.4513,-0.4894
"27",10.35,1.63,3.155,2.83,2.124,1.772,1.643,2.618,1.661,1.328,1.454,1.474,1.216,-215.1,21.67,8.65,6.781,-0.332,0.5701,2.071,-3.088,0.137,-2.295,0.7085,-0.02953,0.4605
"28",13.84,2.311,3.152,3.267,1.5,1.715,1.793,1.9,1.754,1.142,1.209,1.253,0.9452,-255.6,17.42,6.822,3.7,2.704,2.459,2.452,0.1319,0.9719,-0.7667,-0.1075,0.5068,-0.6266
"29",11.33,2.392,2.492,2.355,1.387,1.3,1.444,1.707,1.41,1.191,1.254,1.264,0.9862,-258.3,15.84,6.566,2.959,3.08,2.589,2.057,-0.03761,0.7427,-0.879,-0.4099,0.5406,-0.7888
"30",11.44,1.219,2.792,2.68,2.329,1.957,1.769,2.246,1.767,1.329,1.355,1.53,0.9147,-194.1,21.22,5.203,3.854,1.421,1.346,0.9729,-0.08501,-1.344,-1.757,0.7234,0.0275,-0.226
"31",8.081,2.222,3.155,3.091,1.489,1.574,1.644,1.95,1.523,1.175,1.196,1.251,0.946,-260.8,16.44,6.397,3.159,3.412,2.888,2.373,0.2412,1.201,-0.7023,-0.05898,0.7441,-0.5416
