"","MFCC.Overall.Standard.Deviation0","MFCC.Overall.Standard.Deviation1","MFCC.Overall.Standard.Deviation2","MFCC.Overall.Standard.Deviation3","MFCC.Overall.Standard.Deviation4","MFCC.Overall.Standard.Deviation5","MFCC.Overall.Standard.Deviation6","MFCC.Overall.Standard.Deviation7","MFCC.Overall.Standard.Deviation8","MFCC.Overall.Standard.Deviation9","MFCC.Overall.Standard.Deviation10","MFCC.Overall.Standard.Deviation11","MFCC.Overall.Standard.Deviation12","MFCC.Overall.Average0","MFCC.Overall.Average1","MFCC.Overall.Average2","MFCC.Overall.Average3","MFCC.Overall.Average4","MFCC.Overall.Average5","MFCC.Overall.Average6","MFCC.Overall.Average7","MFCC.Overall.Average8","MFCC.Overall.Average9","MFCC.Overall.Average10","MFCC.Overall.Average11","MFCC.Overall.Average12","CLASS"
"100",8.227,1.495,2.069,2.283,1.772,1.629,1.602,1.813,1.549,1.327,1.223,1.304,0.982,-236.6,16.96,-1.562,-2.753,5.474,2.507,-3.129,3.632,-1.597,1.327,-1.261,-0.2659,-0.05252,1
"101",12.66,2,2.411,2.302,2.534,1.823,1.788,1.605,1.476,1.256,1.388,1.399,0.86,-228.2,18.57,3.14,2.733,5.898,4.558,-0.2889,0.5331,0.4944,0.4789,-1.144,1.445,-0.7151,1
"102",14.81,1.921,3.272,3.159,2.737,2.164,2.193,2.377,2.078,1.306,1.455,1.6,0.9692,-222.9,19.44,4.125,3.394,4.444,3.36,-0.1416,0.1198,0.653,0.3918,-1.146,0.4576,-0.4369,0
"103",10.31,1.853,2.29,2.345,2.174,1.775,1.663,1.769,1.464,1.216,1.395,1.414,0.9299,-228.2,16.87,-1.663,-2.278,7.198,4.408,-2.812,3.717,-2.22,1.031,-1.107,1.36,-1.136,1
"104",9.855,1.415,2.622,2.544,2.274,1.587,2.149,2.054,1.807,1.381,1.468,1.153,0.8391,-228.8,18.85,5.465,5.367,6.101,5.24,0.377,-1.265,2.661,0.9897,-2.675,1.07,-0.4279,1
"105",49.59,1.405,3.943,4.706,1.878,2.015,2.722,3.188,3.056,1.335,1.383,1.547,0.9191,-194,19.48,1.77,0.4471,4.079,2.118,-1.741,2.255,-1.408,0.7062,-0.2182,-0.3268,-0.3745,0
"106",10.4,1.754,2.576,2.794,2.204,1.727,2.101,1.955,1.812,1.397,1.227,1.401,0.9319,-228.9,17.2,-0.03886,-0.1311,8.377,5.073,-3.749,1.862,-0.135,2.523,-2.449,1.076,-0.484,0
"107",15.07,1.538,2.447,2.454,2.287,1.746,1.802,1.962,1.807,1.404,1.281,1.457,0.9364,-242.6,19.28,3.76,1.437,1.909,1.613,1.909,2.488,-0.8378,-1.132,1.106,0.2257,-0.453,1
"108",9.639,1.554,2.088,2.289,1.511,1.474,1.564,1.535,1.599,1.129,1.111,1.309,0.9179,-247,18.61,2.678,0.569,2.464,1.224,0.3027,1.887,-0.6074,-0.2625,0.4604,-0.1453,-0.2698,0
"109",16.41,1.171,2.573,2.616,2.031,1.672,2.36,1.853,1.914,1.283,1.43,1.314,0.8585,-221.2,21.3,7.333,6.282,2.298,2.716,2.535,-0.8402,1.402,-0.8161,-0.2827,0.01834,-0.6142,0
"110",11.45,1.779,2.371,2.338,2.594,1.857,1.858,1.681,1.526,1.381,1.39,1.442,0.8745,-234.7,17.85,1.269,0.5034,5.644,3.997,-0.6795,2.035,-0.2642,0.5734,-0.7039,1.479,-0.5106,1
"111",7.238,1.728,2.052,2.231,1.676,1.443,1.486,1.475,1.255,1.293,1.169,1.215,0.9211,-244.1,16.31,-1.453,-2.36,6.91,3.189,-3.778,2.504,-1.118,1.715,-1.557,0.2705,-0.1619,1
"112",11.79,1.728,2.962,3.187,2.806,2.288,2.16,2.271,1.781,1.47,1.435,1.656,0.9872,-228.3,18.33,0.7129,0.0815,6.325,3.549,-2.854,1.857,-0.9538,1.554,-1.511,0.4372,-0.2585,1
"113",10.62,1.593,2.681,2.908,1.878,1.544,1.937,2.036,1.86,1.244,1.137,1.29,0.8978,-225.4,16.49,-1.67,-1.893,7.594,5.031,-2.456,3.61,-1.048,1.68,-1.193,2.016,-0.9575,1
"114",14.62,1.52,2.553,2.529,2.429,1.809,1.928,1.865,1.606,1.374,1.391,1.433,0.9076,-239.5,19.56,3.918,1.918,2.259,1.895,1.651,2.059,-0.5495,-0.8706,0.7803,0.2441,-0.4287,1
"115",18.37,1.574,2.545,2.534,2.103,1.651,2.138,1.855,1.662,1.416,1.271,1.34,0.9545,-226.6,19.56,3.394,2.2,3.511,2.604,0.05454,1.24,-0.301,0.1766,0.05954,0.4837,-0.6859,1
"116",9.785,1.46,2.296,2.248,2.117,1.622,1.698,1.87,1.605,1.181,1.31,1.218,0.8807,-229.5,19.41,5.412,4.903,4.672,3.983,0.5156,-0.8955,1.924,0.5634,-1.48,0.8158,-0.364,1
"117",9.437,1.874,2.282,2.604,2.716,2.328,1.727,1.755,1.499,1.335,1.364,1.657,0.9293,-241.7,17.52,0.6777,-0.2953,6.77,3.678,-2.082,2.222,-0.3807,1.575,-1.243,0.5552,-0.283,1
"118",16.43,1.225,2.055,2.096,2.04,1.564,1.763,1.782,1.827,1.184,1.456,1.207,0.8655,-216.6,20.8,7.994,7.563,3.362,4.024,2.806,-2.23,2.963,-0.539,-1.209,0.9589,-0.432,0
"119",7.268,1.322,2.515,2.866,1.465,1.443,1.909,2.031,1.839,1.297,1.086,1.287,0.9983,-223.9,17.65,-0.9411,-1.793,5.478,3.201,-2.036,3.783,-1.822,1.024,-0.5274,1.005,-0.3572,1
"120",7.195,1.482,2.467,2.762,1.734,1.463,1.866,1.977,1.797,1.231,1.115,1.332,0.8833,-223.2,16.01,-2.47,-2.899,7.986,5.244,-2.403,4.277,-1.88,1.307,-1.456,2.197,-1.536,1
"121",8.397,1.605,2.687,3.096,1.629,1.58,2.205,1.909,1.854,1.338,1.16,1.295,1.01,-225.5,16.23,-2.243,-2.304,7.908,4.399,-4.45,2.789,-0.7176,2.818,-2.033,1.613,0.004605,1
"122",15.37,1.835,2.796,2.846,2.237,1.65,2.212,1.889,1.705,1.363,1.328,1.307,0.891,-229.1,19.17,3.313,2.382,4.448,3.024,-0.729,0.6687,0.4886,0.8218,-0.9776,0.2177,-0.4393,1
"123",8.372,1.56,2.486,2.508,1.74,1.377,1.621,2.136,1.48,1.415,1.204,1.318,0.9205,-230.7,18.62,2.728,2.468,5.738,4.026,-1.344,0.227,0.6852,1.183,-1.972,0.6931,-0.6349,1
"124",14.38,1.518,2.373,2.3,2.091,1.776,1.784,2.006,1.717,1.506,1.262,1.615,0.9628,-228.5,19.32,3.821,3.306,4.902,3.666,-0.5517,0.2905,0.9521,0.9102,-1.216,0.5216,-0.4511,1
"125",16.39,1.527,2.881,2.562,2.47,1.935,2.099,1.895,1.717,1.296,1.408,1.397,0.929,-227.1,20.7,6.489,4.944,1.62,2.286,2.675,0.3461,0.7723,-0.8945,0.5499,0.4277,-0.6271,0
"126",12.38,1.788,3.159,2.962,2.591,1.82,2.326,2.316,1.979,1.627,1.492,1.611,1.046,-224.1,19.66,4.292,3.551,4.231,3.304,0.0122,0.005215,0.3692,0.217,-0.7523,0.8372,-0.4998,1
"127",17.7,1.446,2.808,2.847,2.199,1.785,2.209,2.118,1.931,1.409,1.354,1.431,0.9335,-228.7,20,4.359,3.277,3.143,2.781,0.9622,0.9307,0.0454,-0.2483,0.2174,0.7206,-0.6302,0
"128",8.434,1.673,2.652,2.863,1.917,1.635,1.777,2.025,1.772,1.306,1.176,1.367,0.9516,-215.8,15.84,-4.102,-3.985,9.374,5.549,-4.644,5.008,-2.415,2.674,-1.849,2.174,-0.9742,1
"129",17.08,1.96,3.654,3.43,3.166,2.217,2.828,2.25,2.214,1.59,1.632,1.656,1.041,-225.3,19.69,3.876,2.583,3.503,2.316,-0.205,0.7604,0.007459,0.3489,-0.3807,-0.0001493,-0.5612,0
"130",13.03,1.54,2.6,2.715,2.242,1.862,2.003,1.856,1.853,1.318,1.324,1.529,1.041,-241,18.39,1.919,0.4024,4.093,2.425,-0.6769,1.829,-0.9423,0.2813,0.2173,0.7336,-0.544,1
"131",12.91,1.761,2.389,2.459,1.997,1.678,1.766,1.787,1.747,1.356,1.309,1.293,0.8696,-232.9,18.23,1.287,0.7998,6.39,3.975,-2.33,1.48,-0.2501,1.591,-1.609,0.7009,-0.3378,1
"132",10.85,1.616,3.231,2.898,2.236,1.565,2.127,2.314,1.885,1.328,1.304,1.39,0.9886,-228.6,20.03,8.147,7.282,3.454,3.839,2.169,-2.578,2.669,-0.4329,-1.305,1.079,-0.4727,1
"133",14.63,1.467,2.318,2.55,1.847,1.722,1.782,1.911,1.933,1.232,1.277,1.336,0.8713,-233.7,18.79,2.062,0.6285,3.715,2.163,-0.5789,1.972,-0.4308,0.4977,-0.3594,0.05671,-0.2645,1
"134",13.26,1.954,2.428,2.411,2.301,1.905,1.761,1.661,1.658,1.161,1.411,1.465,0.8599,-228.8,18.88,2.516,1.265,4.07,2.598,-0.6966,1.84,-0.181,0.3001,-0.8495,0.1284,-0.08152,1
"135",13.86,1.526,2.984,3.125,2.029,1.573,2.511,1.91,1.964,1.364,1.158,1.336,0.98,-236.2,19.1,2.981,1.561,4.223,2.793,-0.06001,1.488,-0.7029,-0.003227,-0.09285,0.5003,-0.7716,1
"136",16.06,1.367,2.753,2.865,2.286,1.791,2.348,2.087,1.944,1.351,1.388,1.372,0.8821,-222.7,19.67,4.338,3.701,4.268,4.093,1.59,0.9259,0.5827,-0.3455,-0.4288,1.299,-0.9827,0
"137",10.22,1.517,2.539,2.706,1.769,1.557,1.595,2.177,1.634,1.221,1.163,1.347,0.958,-231.7,18.07,1.205,0.1641,5.234,3.986,-0.3709,2.264,-1.772,-0.3814,0.1049,2.29,-1.059,1
"138",10.53,1.659,2.249,2.245,1.755,1.605,1.232,1.953,1.261,1.141,1.023,1.433,0.9053,-216.2,18.09,-1.203,-2.385,4.799,3.577,0.2539,6.453,-4.281,-1.443,1.303,1.651,-1.706,1
"139",10.04,1.063,1.931,1.959,1.553,1.447,1.79,1.657,1.745,1.179,1.201,1.276,0.9089,-231.6,20.44,6.49,5.071,1.945,2.533,2.409,-0.2418,0.9209,-0.9012,0.3023,0.8236,-0.5331,0
"140",16.35,1.693,2.79,2.862,2.208,1.731,2.222,1.962,1.941,1.297,1.337,1.364,0.9136,-235.2,20.07,6.279,4.376,2.078,2.081,1.97,0.01626,0.894,-0.6314,0.1118,0.1072,-0.4206,0
"141",13.87,1.522,2.892,2.91,2.178,1.727,2.252,2.173,2.019,1.367,1.32,1.324,0.8883,-221.6,18.98,1.911,1.383,5.187,4.009,-0.4755,2.205,-0.1968,0.4548,-0.9604,0.7886,-0.6777,0
"142",14.51,1.659,2.656,2.83,2.206,1.846,1.997,1.945,1.853,1.318,1.351,1.349,0.8989,-229.2,18.1,1.031,0.3831,6.152,3.799,-1.639,1.909,-0.4998,1.095,-1.204,1.107,-0.5902,1
"143",14.25,1.658,2.65,2.677,2.753,2.106,2.005,2.077,2.039,1.32,1.484,1.476,0.8854,-228.6,20.02,5.672,4.269,2.223,2.495,2.189,0.8727,1.632,-0.199,-0.07353,0.0833,-0.574,1
"144",12.32,1.752,2.789,3.006,1.71,1.574,1.953,2.093,1.927,1.263,1.123,1.346,0.8908,-230.3,17.97,1.691,-0.2241,3.1,3.112,1.511,3.524,-1.419,-1.429,0.8443,1.735,-0.8258,1
"145",13.67,1.655,3.214,3.28,2.225,1.808,2.164,2.19,1.918,1.313,1.287,1.451,0.9196,-239.6,19.34,3.799,1.895,2.977,1.974,0.8486,1.433,-0.5254,-0.5147,0.3759,0.08694,-0.6882,1
"146",10.78,1.977,2.677,2.734,1.909,1.634,1.642,2.046,1.871,1.252,1.18,1.42,0.9287,-247,18.11,4.495,2.727,3.579,2.757,0.9497,0.5603,1.593,0.3105,-0.789,0.3635,-0.1965,1
"147",8.838,1.879,2.384,2.269,2.128,1.839,1.617,1.658,1.358,1.215,1.284,1.447,0.9732,-222.6,15.73,-4.437,-4.751,8.011,3.704,-5.516,4.37,-3.604,1.873,-2.025,0.3223,-0.7886,1
"148",12.81,1.724,2.617,2.722,1.826,1.575,1.92,1.825,1.94,1.183,1.165,1.332,0.9305,-246.3,17.81,4.034,1.84,2.639,2.338,1.713,1.353,0.6874,-0.2836,0.6502,0.9409,-0.717,1
"149",11.55,1.471,2.453,2.604,1.966,1.642,2.086,1.904,1.877,1.406,1.203,1.386,0.9271,-236.8,18.61,2.999,2.209,5.197,4.011,0.2396,1.431,0.5632,0.6349,-0.4874,1.125,-0.8423,1
"150",10.56,1.578,2.367,2.452,1.9,1.629,1.643,2.017,1.666,1.305,1.229,1.295,0.8713,-229.4,18.53,2.95,2.436,5.5,4.253,-0.116,1.071,0.5104,0.4669,-1.066,1.239,-0.8197,1
"151",7.808,1.46,1.924,2.169,1.74,1.519,1.56,1.514,1.5,1.229,1.139,1.257,0.9122,-244.5,16.93,-0.3292,-1.399,6.22,3.206,-2.378,2.59,-0.7493,1.437,-0.8546,0.5442,-0.231,1
"152",15.38,1.67,3.255,3.392,2.039,1.784,2.236,2.192,2.181,1.325,1.28,1.503,0.9019,-220.6,19.45,2.229,1.302,4.145,3.023,0.03023,2.403,-0.603,0.3325,-0.5721,0.5065,-0.4131,1
"153",10.56,1.299,2.538,2.547,2.254,2.038,1.855,1.919,1.704,1.246,1.535,1.359,0.826,-214.1,20.66,5.233,4.836,4.217,3.727,0.5215,-0.1906,1.313,0.04984,-1.725,0.09214,-0.06668,0
"154",14.54,1.266,2.502,2.741,1.831,1.654,2.316,1.972,2.179,1.267,1.321,1.315,0.8499,-227,19.72,5.207,4.534,4.003,3.74,1.401,-0.0589,1.55,0.01204,-0.8713,0.8044,-0.6688,0
"155",11.34,1.746,2.972,3,2.459,1.987,2.026,2.092,1.903,1.349,1.232,1.608,0.931,-225.1,19.34,2.362,1.618,5.284,3.674,-0.8632,1.599,-1.148,0.2005,-0.4698,1.047,-0.4718,0
"156",10.63,1.617,2.14,2.235,1.967,1.635,1.59,1.626,1.557,1.359,1.293,1.341,0.9074,-234.3,17.2,-0.5276,-1.32,6.546,3.929,-2.313,2.822,-0.9568,1.386,-1.312,1.129,-0.4259,1
"157",16.39,2.013,3.035,2.974,2.881,1.936,2.519,1.821,1.959,1.618,1.535,1.529,0.9573,-231.3,19.14,2.334,0.9427,4.062,2.466,-0.6113,1.928,-1.101,0.2219,0.08679,0.4608,-0.4173,1
"158",13.58,1.81,2.874,3.092,2.225,1.9,1.838,2.509,1.875,1.252,1.255,1.694,0.9543,-228.4,16.49,-0.7823,-1.108,7.437,4.435,-3.511,2.078,-0.07585,2.198,-2.216,1.067,-0.367,1
"159",11.58,1.308,2.636,2.6,1.918,1.525,1.898,1.927,1.786,1.213,1.189,1.313,0.8624,-231.3,21.01,7.03,5.613,2.086,2.416,2.105,-0.7162,0.8421,-0.7508,0.1231,0.3385,-0.5017,1
"160",19.31,1.578,3.821,4.011,2.013,1.679,2.657,2.805,2.554,1.393,1.231,1.282,0.9345,-218.7,18.92,2.649,1.573,3.484,2.551,-0.06422,1.37,-0.03901,0.2522,-0.4849,0.4988,-0.5494,1
"161",20.91,1.965,3.609,3.468,3.06,2.109,2.879,2.35,2.334,1.611,1.59,1.531,0.9384,-218.6,19.24,4.119,3.634,4.551,3.797,0.1619,0.09685,1.277,0.531,-1.152,0.873,-0.5239,0
"162",13.14,1.52,2.299,2.346,2.167,1.746,1.939,1.777,1.78,1.356,1.445,1.282,0.9642,-238.3,18.9,2.841,1.679,4.396,2.945,-0.2536,1.504,0.2327,0.5539,-0.6854,0.2685,-0.2781,1
"163",13.9,1.197,2.502,2.494,1.886,1.521,2.049,1.989,1.812,1.302,1.252,1.281,0.8436,-225.3,20.97,7.339,6.32,2.538,3.31,3.307,-0.4774,1.535,-1.052,-0.221,0.4831,-0.8837,1
"164",15.35,2.445,3.429,3.613,2.836,2.338,2.329,2.313,2.232,1.291,1.417,1.972,1.067,-213.9,17.58,-0.5321,-1.006,6.731,4.145,-2.612,3.038,-1.044,1.559,-1.436,0.9815,-0.6057,1
"165",14.16,1.67,3.352,3.493,2.308,1.874,2.406,2.492,2.411,1.384,1.433,1.427,0.9683,-219.2,18.43,1.66,1.068,5.269,4.331,-0.09878,2.356,-0.2695,0.242,-0.6564,1.647,-0.7532,0
"166",14.07,1.511,2.488,2.615,2.243,1.732,2.114,1.857,1.715,1.449,1.368,1.422,0.9153,-234.1,18.52,1.032,-0.3702,4.668,2.423,-1.662,2.612,-1.591,0.4717,-0.1236,0.2391,-0.4465,1
"167",9.955,1.744,3.01,3.07,2.11,1.626,2.149,2.228,2.083,1.242,1.316,1.339,0.8586,-221.7,17.96,2.243,2.676,7.755,5.736,-1.722,0.1676,1.482,1.765,-3.199,1.543,-0.4167,1
"168",12.8,1.662,2.621,2.641,1.988,1.546,1.807,1.738,1.64,1.21,1.217,1.217,0.9309,-243.3,19.3,4.727,2.673,2.755,2.029,1.226,0.8985,0.1859,-0.3762,0.263,0.2317,-0.4377,1
"169",10.46,1.642,2.444,2.498,1.923,1.605,1.677,1.842,1.583,1.174,1.252,1.285,0.8985,-236.3,19.64,6.636,5.178,3.476,3.19,1.695,-0.8173,1.751,-0.04203,-0.6078,0.6124,-0.6337,1
"170",11.73,1.61,2.737,2.826,2.111,1.705,2.095,2.001,1.771,1.377,1.303,1.402,0.9471,-229.7,19.33,3.579,2.587,4.503,3.146,-0.531,0.5325,0.2698,0.6696,-0.7599,0.4255,-0.6299,1
"171",12.75,1.602,3.479,3.516,2.149,1.766,2.401,2.245,2.211,1.281,1.279,1.428,0.9031,-240,20.12,6.727,4.828,1.965,2.367,2.842,0.4555,1.539,-0.4755,0.1874,0.05072,-0.6459,0
"172",10.03,1.595,2.793,2.725,1.997,1.643,1.92,2.277,1.714,1.525,1.187,1.302,1.051,-213.7,19.4,3.853,3.942,5.543,4.512,-0.554,-0.06236,1.037,1.012,-1.188,1.298,-0.9136,1
"173",11.19,1.665,2.436,2.675,1.693,1.604,2.01,1.796,1.99,1.358,1.179,1.339,0.9994,-241.4,17.88,2.338,0.862,4.318,2.761,-0.3082,1.424,0.3874,0.5582,-0.7025,0.4893,-0.294,1
"174",16.15,1.857,2.81,2.786,2.334,1.514,2.508,1.728,1.645,1.63,1.422,1.3,0.8752,-220.6,20.22,5.436,4.766,4.116,3.301,0.2175,-0.5997,1.379,0.5061,-1.294,0.01832,-0.4495,1
"175",14.8,1.437,2.992,3.053,2.228,1.7,2.451,2.213,2.3,1.363,1.345,1.368,0.872,-224.6,19.17,3.186,2.648,5.075,4.201,0.3275,1.312,0.6086,0.5154,-0.7953,1.133,-0.8467,1
"176",12.08,1.719,3.502,3.2,2.404,1.699,2.248,2.611,1.897,1.513,1.371,1.535,1.039,-229.1,18.8,2.199,1.06,3.848,3.073,0.3021,2.732,-0.5279,0.04897,-0.4308,0.4389,-0.7434,1
"177",7.457,1.398,2.644,2.795,1.592,1.408,1.831,2.108,1.82,1.221,1.209,1.285,0.9412,-219.8,19.52,4.042,3.509,4.19,3.449,0.2219,-0.272,-0.1017,-0.3156,-0.5466,1.631,-0.3118,1
"178",20.4,1.834,3.758,3.628,2.695,1.96,2.565,2.627,2.246,1.52,1.386,1.59,0.9428,-220,19.51,3.334,2.318,3.548,2.652,-0.1344,1.129,-0.01547,0.3547,-0.381,0.3983,-0.552,0
"179",12.4,1.357,2.682,2.778,2.103,1.734,2.031,2.333,1.993,1.304,1.277,1.33,0.8312,-222.9,19.85,4.855,4.325,4.072,4.229,1.977,0.7042,1.314,-0.4676,-0.7127,0.9731,-0.8328,0
"180",15.58,1.701,3.092,3.11,2.369,1.696,2.158,2.252,1.994,1.399,1.329,1.421,0.9917,-235.2,19.11,2.824,1.064,3.172,2.265,0.7443,2.235,-1.224,-0.5854,0.6493,0.6555,-0.7935,1
"181",18.05,1.923,3.846,3.976,2.486,1.85,3.034,2.331,2.428,1.563,1.436,1.376,0.9418,-228.9,18.68,1.589,0.5707,4.983,2.981,-1.34,2.1,-0.5049,1.012,-0.7209,0.3139,-0.3792,0
"182",7.557,1.502,2.493,2.663,1.852,1.534,1.807,2.084,1.725,1.299,1.193,1.312,0.9469,-224.4,17.4,-0.8262,-1.063,7.131,4.539,-2.789,3.151,-0.8263,1.821,-1.895,0.9743,-0.4831,1
"183",9.828,1.429,2.388,2.478,2.135,1.689,1.779,1.892,1.714,1.238,1.214,1.366,1.017,-216.4,18.28,0.1214,-0.1791,6.361,3.977,-1.893,3.165,-1.44,1.246,-0.7587,1.092,-1.518,1
"184",12.72,1.434,2.385,2.742,2.075,1.93,1.724,2.029,1.782,1.291,1.377,1.38,0.9384,-224.9,17.74,-1.038,-1.882,6.567,4.287,-1.889,4.286,-2.53,0.3053,-1.041,1.18,-0.5417,0
"185",27.81,1.344,3.461,3.788,2.327,2.312,2.641,2.577,2.661,1.232,1.434,1.649,0.913,-197.5,19.89,3.327,2.01,2.289,2.115,1.096,2.273,-0.3899,-0.2177,0.517,0.2088,-0.7016,0
"186",18.38,1.76,2.994,3.564,3.227,2.504,1.961,3.617,2.648,1.779,2.044,1.868,1.026,-236.2,17.99,0.8824,-1.442,2.375,1.315,0.4753,4.218,-1.995,-0.7124,1.168,-0.1384,-0.585,1
"187",13.86,1.682,2.3,2.154,2.553,1.807,1.992,1.681,1.611,1.36,1.558,1.34,0.9129,-230.4,19.06,3.187,2.429,4.673,3.35,-0.3942,0.9819,0.3062,0.6412,-0.817,0.5598,-0.5945,1
"188",12.48,1.782,2.861,3.011,1.901,1.551,1.924,2.137,1.712,1.343,1.245,1.346,0.8849,-234.8,18.84,3.79,2.539,4.28,3.035,-0.05906,0.2939,0.2944,0.2543,-0.5176,0.7353,-0.5676,1
"189",14.57,1.588,2.686,2.756,2.309,1.742,2.074,1.843,1.864,1.301,1.282,1.472,0.9299,-231.9,19.53,3.47,1.912,3.257,2.101,0.1025,1.223,-0.4885,-0.06857,0.1075,0.125,-0.5642,0
"190",8.022,1.571,2.265,2.401,1.699,1.462,1.72,1.773,1.678,1.317,1.232,1.182,0.8614,-238.3,18.43,4.251,3.559,5.035,4.161,0.5992,0.02398,1.835,0.6057,-1.402,1.014,-0.554,1
"191",15.34,1.64,2.841,2.899,2.083,1.684,2.285,1.865,1.935,1.469,1.28,1.379,0.9368,-233.3,19.14,2.894,1.248,2.707,1.912,0.4859,1.925,-0.6711,-0.2463,0.3667,0.2943,-0.5616,1
"192",15.67,2.263,3.045,2.89,3.108,2.419,2.029,1.955,1.609,1.637,1.524,1.921,0.9854,-216.6,17.77,-0.9105,-1.993,6.224,3.609,-2.575,3.645,-2.165,1.466,-0.4029,1.263,-0.919,1
"193",13,1.366,2.536,2.602,2.104,1.82,1.894,2.1,1.858,1.201,1.377,1.425,0.8722,-216.9,20.23,5.458,4.476,2.765,3.367,2.388,0.5639,1.152,-0.9943,-0.461,0.7432,-0.5962,0
"194",28.92,1.873,2.237,2.209,2.96,2.131,2.105,1.782,1.831,1.748,1.666,1.718,1.002,-210.9,18.57,0.05083,-1.534,4.71,2.258,-1.989,3.634,-2.632,0.5659,0.2754,0.07875,-0.8769,1
"195",9.935,1.124,2.158,2.145,1.733,1.459,1.806,1.801,1.711,1.144,1.218,1.254,0.8622,-217.3,21.44,8.958,7.858,1.259,2.824,4,-1.822,2.555,-1.369,-0.02208,0.6593,-0.3573,0
"196",13.46,1.154,2.319,2.246,1.9,1.535,1.969,1.748,1.703,1.238,1.337,1.22,0.8855,-223,20.92,7.85,6.902,2.419,3.482,3.755,-0.7577,1.862,-1.1,-0.205,0.7109,-1.019,0
"197",13.46,2.004,2.921,2.896,2.529,1.856,2.036,1.952,1.703,1.398,1.373,1.403,0.9048,-229,18.74,1.767,1.215,5.777,3.452,-2.047,1.487,-0.2641,1.327,-1.104,0.5636,-0.4816,1
"198",9.916,1.468,2.579,2.819,1.794,1.53,1.87,1.914,1.609,1.272,1.179,1.31,0.8731,-223,17.95,-0.4865,-1.418,5.996,3.59,-2.013,3.436,-2.228,0.8157,-0.5642,1.208,-0.8898,1
"199",19.65,1.368,3.444,3.683,1.642,1.598,2.604,2.277,2.628,1.255,1.134,1.29,0.8591,-235.1,18.89,2.39,0.9599,3.789,2.33,-0.3462,2.013,-0.2613,0.4754,-0.121,0.1481,-0.3424,0
"200",10.14,2.004,3.092,3.332,2.248,1.739,1.943,2.038,2.006,1.143,1.174,1.404,0.9493,-224.3,16.46,-2.16,-3.118,7.144,4.281,-2.188,4.432,-2.99,0.6092,-0.2632,2.418,-1.318,1
"201",7.536,1.568,2.055,2.247,1.641,1.496,1.504,1.637,1.445,1.31,1.153,1.349,0.9634,-228.2,17.43,-1.042,-3.589,3.335,2.668,1.213,6.751,-4.599,-2.172,2.423,2.137,-1.058,1
"202",10.85,2.237,2.927,2.917,2.596,1.842,2.105,1.85,1.685,1.407,1.329,1.528,0.8878,-225.5,17.62,0.6841,0.6861,7.851,4.877,-3.107,1.194,0.135,2.286,-2.175,1.371,-0.5057,1
